State,Geography,county_fips,Race,Religion,Sexual_Orientation,Disability,Gender,Gender_Identity,Gender_both,Total,Total crimes,% hate crime,AvgYears,Education Quintile
Washington,"Mason County, Washington",53045,0,1,0,0,0,0,0,1,2201,0.05%,15.25091747,Second
Montana,"Big Horn County, Montana",30003,2,0,2,0,0,0,0,6,0,#DIV/0!,15.25169165,Second
Colorado,"Delta County, Colorado",8029,0,0,1,0,0,0,0,2,577,0.35%,15.25748173,Second
Missouri,"Polk County, Missouri",29167,0,1,0,0,0,0,0,1,1021,0.10%,15.26162732,Second
Tennessee,"Loudon County, Tennessee",47105,1,0,0,0,0,0,0,1,1146,0.09%,15.26237104,Second
Wisconsin,"Manitowoc County, Wisconsin",55071,1,0,0,0,0,0,0,1,1594,0.06%,15.27002962,Second
Michigan,"Wayne County, Michigan",26163,58,13,21,2,0,0,0,115,75031,0.15%,15.27383078,Second
Delaware,"Sussex County, Delaware",10005,1,0,0,0,0,0,0,1,7337,0.01%,15.28917308,Second
Michigan,"Lapeer County, Michigan",26087,3,0,2,0,0,0,0,7,1051,0.67%,15.29739094,Second
Michigan,"St. Clair County, Michigan",26147,0,0,3,0,0,0,0,6,2897,0.21%,15.29747056,Second
Oklahoma,"McClain County, Oklahoma",40087,0,1,0,0,0,0,0,1,683,0.15%,15.298621,Second
Nebraska,"Madison County, Nebraska",31119,1,0,0,0,0,0,0,1,757,0.13%,15.29879656,Second
Tennessee,"Anderson County, Tennessee",47001,1,0,1,0,0,0,0,3,1275,0.24%,15.29952997,Second
Kansas,"Doniphan County, Kansas",20043,1,0,0,0,0,0,0,1,156,0.64%,15.2998062,Second
Missouri,"Taney County, Missouri",29213,1,0,0,0,0,0,0,1,1911,0.05%,15.30135544,Second
Virginia,"Waynesboro city, Virginia",51820,1,0,0,0,0,0,0,1,693,0.14%,15.30145956,Second
Virginia,"Portsmouth city, Virginia",51740,3,0,0,0,0,0,0,3,5460,0.05%,15.30414507,Second
Ohio,"Washington County, Ohio",39167,1,0,0,0,0,0,0,1,694,0.14%,15.30786626,Second
New York,"Schoharie County, New York",36095,0,1,0,0,0,0,0,1,389,0.26%,15.30995188,Second
Florida,"Lake County, Florida",12069,1,0,1,0,0,0,0,3,7955,0.04%,15.31025398,Second
Illinois,"Winnebago County, Illinois",17201,3,0,2,0,0,0,0,7,11213,0.06%,15.31179558,Second
Massachusetts,"Hampden County, Massachusetts",25013,8,0,4,0,0,0,0,16,16012,0.10%,15.31316422,Second
Ohio,"Auglaize County, Ohio",39011,2,1,0,0,0,0,0,3,388,0.77%,15.31390959,Second
Michigan,"Muskegon County, Michigan",26121,4,1,1,0,0,0,0,7,6907,0.10%,15.31645537,Second
Delaware,"Kent County, Delaware",10001,1,1,0,0,0,0,0,2,5428,0.04%,15.3225993,Second
West Virginia,"Marion County, West Virginia",54049,0,0,0,1,0,0,0,1,560,0.18%,15.32340622,Second
California,"Mendocino County, California",6045,3,1,2,0,0,0,0,8,2058,0.39%,15.3286085,Second
Michigan,"Saginaw County, Michigan",26145,6,2,1,0,0,0,0,10,5138,0.19%,15.33137961,Second
Illinois,"Kane County, Illinois",17089,3,0,0,0,0,0,0,3,7563,0.04%,15.33210473,Second
Texas,"Grayson County, Texas",48181,0,0,1,0,0,0,0,2,2961,0.07%,15.33688513,Second
Michigan,"Allegan County, Michigan",26005,0,0,1,0,0,0,0,2,1602,0.12%,15.33834036,Second
Kansas,"Reno County, Kansas",20155,1,0,1,0,0,0,0,3,2263,0.13%,15.33861226,Second
Kentucky,"Daviess County, Kentucky",21059,5,1,0,0,0,0,0,6,2986,0.20%,15.34595865,Second
Iowa,"Jasper County, Iowa",19099,1,0,0,0,0,0,0,1,881,0.11%,15.34867758,Second
Maine,"Androscoggin County, Maine",23001,2,0,0,0,0,0,0,2,2474,0.08%,15.35280481,Third
Michigan,"Shiawassee County, Michigan",26155,1,0,0,0,0,0,0,1,1126,0.09%,15.35543677,Third
Michigan,"Mackinac County, Michigan",26097,0,0,1,0,0,0,0,2,356,0.56%,15.35787467,Third
South Dakota,"Hamlin County, South Dakota",46057,0,0,1,0,0,0,0,2,65,3.08%,15.35974946,Third
Louisiana,"Caddo Parish, Louisiana",22017,0,1,0,0,0,0,0,1,11618,0.01%,15.36085324,Third
Kansas,"Greeley County, Kansas",20071,0,0,0,1,0,0,0,1,6,16.67%,15.36353211,Third
Michigan,"Monroe County, Michigan",26115,5,0,0,0,0,0,0,5,2855,0.18%,15.36877291,Third
Mississippi,"Harrison County, Mississippi",28047,0,0,1,0,0,0,0,2,8916,0.02%,15.37219835,Third
West Virginia,"Wood County, West Virginia",54107,0,0,1,0,0,0,0,2,1820,0.11%,15.37531058,Third
California,"Ventura County, California",6111,10,3,2,0,0,0,0,17,18702,0.09%,15.37610838,Third
Tennessee,"Blount County, Tennessee",47009,4,0,2,0,0,0,0,8,2422,0.33%,15.38038561,Third
Oregon,"Coos County, Oregon",41011,0,1,0,0,0,0,0,1,2164,0.05%,15.38398335,Third
Kansas,"Montgomery County, Kansas",20125,1,0,0,1,0,0,0,2,1112,0.18%,15.3857534,Third
Michigan,"Mecosta County, Michigan",26107,3,0,0,0,0,0,0,3,877,0.34%,15.38754626,Third
Oklahoma,"Noble County, Oklahoma",40103,0,0,1,0,0,0,0,2,171,1.17%,15.38856268,Third
Wisconsin,"Rock County, Wisconsin",55105,1,0,0,0,0,0,0,1,4401,0.02%,15.39036658,Third
Florida,"Lee County, Florida",12071,4,0,2,0,0,0,0,8,15855,0.05%,15.39052282,Third
Illinois,"Crawford County, Illinois",17033,1,0,0,0,0,0,0,1,233,0.43%,15.39105825,Third
New York,"Oneida County, New York",36065,0,0,1,0,0,0,0,2,5867,0.03%,15.39428307,Third
Ohio,"Miami County, Ohio",39109,0,0,2,0,0,0,0,4,2915,0.14%,15.39502296,Third
Michigan,"Calhoun County, Michigan",26025,6,1,1,0,0,0,0,9,4563,0.20%,15.39869662,Third
Missouri,"Clinton County, Missouri",29049,1,0,0,0,0,0,0,1,456,0.22%,15.40059748,Third
New Jersey,"Union County, New Jersey",34039,0,1,0,0,0,0,0,1,12334,0.01%,15.40174983,Third
Georgia,"Rockdale County, Georgia",13247,1,0,0,0,0,0,0,1,2955,0.03%,15.40204534,Third
Oklahoma,"Wagoner County, Oklahoma",40145,4,1,0,0,0,0,0,5,1689,0.30%,15.40314578,Third
Florida,"Pasco County, Florida",12101,2,0,1,0,0,0,0,4,12892,0.03%,15.40497896,Third
Kentucky,"Spencer County, Kentucky",21215,1,0,0,0,0,0,0,1,135,0.74%,15.40535436,Third
Utah,"Carbon County, Utah",49007,1,0,0,0,0,0,0,1,660,0.15%,15.40549985,Third
Texas,"Lubbock County, Texas",48303,1,0,0,0,0,0,0,1,14182,0.01%,15.40899766,Third
Montana,"Pondera County, Montana",30073,1,0,0,0,0,0,0,1,67,1.49%,15.41010968,Third
Ohio,"Stark County, Ohio",39151,4,0,0,0,0,0,0,4,11288,0.04%,15.41233843,Third
Vermont,"Franklin County, Vermont",50011,2,0,0,0,0,0,0,2,797,0.25%,15.41443882,Third
Kentucky,"Boyd County, Kentucky",21019,1,1,0,0,0,0,0,2,1341,0.15%,15.41474721,Third
Michigan,"Barry County, Michigan",26015,3,0,0,0,0,0,0,3,674,0.45%,15.41561346,Third
Ohio,"Mahoning County, Ohio",39099,3,0,1,0,0,0,0,5,8248,0.06%,15.4169055,Third
Michigan,"Otsego County, Michigan",26137,1,0,0,0,0,0,0,1,415,0.24%,15.41814538,Third
California,"Napa County, California",6055,0,0,1,0,0,0,0,2,2919,0.07%,15.41984513,Third
Colorado,"Weld County, Colorado",8123,2,0,0,0,0,0,0,2,6363,0.03%,15.43309809,Third
South Carolina,"Horry County, South Carolina",45051,1,0,0,0,0,0,0,1,16896,0.01%,15.43458953,Third
Florida,"Charlotte County, Florida",12015,1,0,0,0,0,0,0,1,3208,0.03%,15.4373667,Third
California,"Solano County, California",6095,6,1,1,0,0,0,0,9,15569,0.06%,15.43934455,Third
New Jersey,"Hudson County, New Jersey",34017,7,2,2,0,0,0,0,13,13065,0.10%,15.4395991,Third
Kansas,"Saline County, Kansas",20169,3,0,0,0,0,0,0,3,2171,0.14%,15.44285364,Third
New Jersey,"Essex County, New Jersey",34013,6,4,4,0,0,0,0,18,23492,0.08%,15.44450939,Third
Michigan,"Jackson County, Michigan",26075,3,0,0,0,0,0,0,3,4058,0.07%,15.44510603,Third
Texas,"Tarrant County, Texas",48439,16,4,5,1,0,5,5,31,71745,0.04%,15.44632188,Third
West Virginia,"Kanawha County, West Virginia",54039,11,1,5,1,0,0,0,23,8385,0.27%,15.44864797,Third
Iowa,"Clinton County, Iowa",19045,0,1,0,0,0,0,0,1,1673,0.06%,15.44962997,Third
California,"Sacramento County, California",6067,12,2,6,0,0,0,0,26,47698,0.05%,15.45186299,Third
South Carolina,"Berkeley County, South Carolina",45015,1,0,0,0,0,0,0,1,5633,0.02%,15.45445478,Third
Connecticut,"Windham County, Connecticut",9015,1,0,0,0,0,0,0,1,703,0.14%,15.45841866,Third
Michigan,"Macomb County, Michigan",26099,14,1,0,2,0,0,0,17,18161,0.09%,15.46079355,Third
Washington,"Klickitat County, Washington",53039,2,0,0,0,0,0,0,2,290,0.69%,15.46086437,Third
Colorado,"Pueblo County, Colorado",8101,1,0,0,0,0,0,0,1,9277,0.01%,15.46220102,Third
Michigan,"Genesee County, Michigan",26049,17,1,2,0,0,0,0,22,13938,0.16%,15.4623152,Third
Maryland,"Prince George's County, Maryland",24033,1,0,1,0,0,0,0,3,30724,0.01%,15.46379655,Third
Colorado,"Garfield County, Colorado",8045,2,0,0,0,0,0,0,2,1092,0.18%,15.46510768,Third
North Carolina,"Onslow County, North Carolina",37133,0,0,1,0,0,0,0,2,3416,0.06%,15.46556661,Third
Wisconsin,"Polk County, Wisconsin",55095,1,0,0,0,0,0,0,1,573,0.17%,15.46558587,Third
Montana,"Richland County, Montana",30083,0,1,0,0,0,0,0,1,153,0.65%,15.46713305,Third
Wisconsin,"Fond du Lac County, Wisconsin",55039,2,0,0,0,0,0,0,2,1801,0.11%,15.46835048,Third
South Carolina,"Georgetown County, South Carolina",45043,2,0,0,0,0,0,0,2,2385,0.08%,15.4684169,Third
Washington,"Stevens County, Washington",53065,1,0,0,0,0,0,0,1,900,0.11%,15.47249839,Third
Kentucky,"Franklin County, Kentucky",21073,3,2,0,0,0,0,0,5,1487,0.34%,15.47510152,Third
Illinois,"Effingham County, Illinois",17049,1,1,0,0,0,0,0,2,631,0.32%,15.47522833,Third
California,"Amador County, California",6005,0,1,0,0,0,0,0,1,710,0.14%,15.47679677,Third
Florida,"Volusia County, Florida",12127,4,0,2,0,0,0,0,8,17894,0.04%,15.48244682,Third
New York,"Cayuga County, New York",36011,0,1,0,0,0,0,0,1,1613,0.06%,15.48559463,Third
Pennsylvania,"Lackawanna County, Pennsylvania",42069,1,1,0,0,0,0,0,2,4330,0.05%,15.49443814,Third
Maryland,"Baltimore city, Maryland",24510,1,0,2,0,0,0,0,5,38341,0.01%,15.49672173,Third
Utah,"Weber County, Utah",49057,7,0,4,1,0,0,0,16,7177,0.22%,15.49685675,Third
Kentucky,"McCracken County, Kentucky",21145,3,1,0,0,0,0,0,4,1922,0.21%,15.49917438,Third
National,National ,,,,,,,,,8.3,9009,0.09%,15.5,Third
Kansas,"Neosho County, Kansas",20133,1,0,0,0,0,0,0,1,374,0.27%,15.50217572,Third
Indiana,"Marion County, Indiana",18097,20,3,5,0,0,0,0,33,54434,0.06%,15.50385571,Third
Kansas,"Franklin County, Kansas",20059,1,0,0,0,0,0,0,1,698,0.14%,15.50409812,Third
Kansas,"Brown County, Kansas",20013,1,0,0,0,0,0,0,1,225,0.44%,15.50456929,Third
North Carolina,"Iredell County, North Carolina",37097,2,0,0,0,0,0,0,2,4153,0.05%,15.50639044,Third
Missouri,"Phelps County, Missouri",29161,2,0,0,0,0,0,0,2,1443,0.14%,15.50651548,Third
South Dakota,"Brule County, South Dakota",46015,0,0,1,0,0,0,0,2,134,1.49%,15.50673023,Third
California,"Mono County, California",6051,2,0,0,0,0,0,0,2,220,0.91%,15.51297513,Third
Michigan,"Mason County, Michigan",26105,4,0,0,0,0,0,0,4,693,0.58%,15.51394829,Third
Iowa,"Mahaska County, Iowa",19123,1,0,0,0,0,0,0,1,465,0.22%,15.52158608,Third
Tennessee,"Sumner County, Tennessee",47165,1,1,1,0,0,0,0,4,3112,0.13%,15.52672781,Third
Kentucky,"Madison County, Kentucky",21151,3,1,0,0,0,0,0,4,2274,0.18%,15.52858891,Third
Wyoming,"Campbell County, Wyoming",56005,3,0,0,0,0,0,0,3,1283,0.23%,15.52879444,Third
Utah,"Tooele County, Utah",49045,4,0,1,0,0,0,0,6,1772,0.34%,15.52937178,Third
Michigan,"Delta County, Michigan",26041,1,0,0,0,1,0,1,2,802,0.25%,15.53241457,Third
Ohio,"Lorain County, Ohio",39093,2,1,1,0,0,1,1,5,4617,0.11%,15.53402701,Third
Ohio,"Licking County, Ohio",39089,1,0,0,0,0,0,0,1,4501,0.02%,15.53895973,Third
Indiana,"Delaware County, Indiana",18035,1,0,0,0,0,0,0,1,3820,0.03%,15.54410191,Third
Tennessee,"Madison County, Tennessee",47113,2,1,0,0,0,0,0,3,4494,0.07%,15.54679482,Third
California,"Tuolumne County, California",6109,1,1,0,0,0,0,0,2,1308,0.15%,15.54870497,Third
New Jersey,"Camden County, New Jersey",34007,1,2,0,0,0,0,0,3,15479,0.02%,15.54997349,Third
Washington,"Skagit County, Washington",53057,0,0,0,0,0,2,2,0,4588,0.00%,15.55774465,Third
Mississippi,"DeSoto County, Mississippi",28033,3,1,1,0,0,0,0,6,3205,0.19%,15.55823319,Third
Texas,"Bell County, Texas",48027,1,0,0,0,0,0,0,1,11381,0.01%,15.55937074,Third
Kentucky,"Warren County, Kentucky",21227,6,2,3,0,0,0,0,14,3861,0.36%,15.56529439,Third
Wisconsin,"Milwaukee County, Wisconsin",55079,0,0,1,0,0,1,1,2,48786,0.00%,15.56947538,Third
Kentucky,"Hardin County, Kentucky",21093,4,0,1,0,0,1,1,6,2071,0.29%,15.57052698,Third
Oklahoma,"Oklahoma County, Oklahoma",40109,3,0,0,0,0,0,0,3,34478,0.01%,15.57192367,Third
West Virginia,"Cabell County, West Virginia",54011,1,0,1,1,0,0,0,4,3567,0.11%,15.57440522,Third
Nevada,"Washoe County, Nevada",32031,0,1,0,0,0,0,0,1,12055,0.01%,15.58081019,Third
Virginia,"Newport News city, Virginia",51700,3,0,1,0,0,0,0,5,6480,0.08%,15.5821741,Third
California,"Butte County, California",6007,4,0,1,0,0,0,0,6,7309,0.08%,15.5849233,Third
Kentucky,"Calloway County, Kentucky",21035,1,1,0,0,0,0,0,2,970,0.21%,15.58603352,Third
Texas,"Parker County, Texas",48367,0,1,1,1,0,0,0,4,2103,0.19%,15.5884731,Third
New Jersey,"Ocean County, New Jersey",34029,0,1,0,0,0,0,0,1,9770,0.01%,15.5900947,Third
Kansas,"Wabaunsee County, Kansas",20197,1,0,0,0,0,0,0,1,130,0.77%,15.59106169,Third
Louisiana,"Bossier Parish, Louisiana",22015,1,0,1,0,0,0,0,3,4369,0.07%,15.59357359,Third
Kentucky,"Jessamine County, Kentucky",21113,5,1,0,0,0,0,0,6,1515,0.40%,15.59647953,Third
Florida,"Clay County, Florida",12019,2,0,0,0,0,0,0,2,4649,0.04%,15.60784066,Third
California,"Shasta County, California",6089,9,1,2,0,0,0,0,14,6980,0.20%,15.60866371,Third
Ohio,"Clermont County, Ohio",39025,0,1,0,0,0,0,0,1,5728,0.02%,15.61332451,Third
New Jersey,"Cape May County, New Jersey",34009,1,0,0,0,0,0,0,1,3770,0.03%,15.61489198,Third
New York,"Niagara County, New York",36063,2,0,1,0,0,0,0,4,6230,0.06%,15.61591815,Third
Ohio,"Lucas County, Ohio",39095,31,1,4,0,0,0,0,40,11863,0.34%,15.62215691,Third
Kansas,"Pratt County, Kansas",20151,1,0,0,0,0,0,0,1,305,0.33%,15.62341972,Third
Virginia,"Frederick County, Virginia",51069,1,0,0,0,0,0,0,1,1696,0.06%,15.62408928,Third
Oregon,"Union County, Oregon",41061,1,0,0,0,0,0,0,1,559,0.18%,15.62628745,Third
Indiana,"Allen County, Indiana",18003,2,0,2,0,0,0,0,6,10471,0.06%,15.62856827,Third
Arizona,"Maricopa County, Arizona",4013,101,45,47,1,0,0,0,241,140538,0.17%,15.63249688,Third
Texas,"Galveston County, Texas",48167,8,0,1,0,0,0,0,10,9911,0.10%,15.6344408,Third
Oregon,"Jackson County, Oregon",41029,2,1,2,0,0,0,0,7,9063,0.08%,15.63515404,Third
Virginia,"Norfolk city, Virginia",51710,0,1,0,0,0,0,0,1,11475,0.01%,15.63521619,Third
Indiana,"St. Joseph County, Indiana",18141,10,0,0,0,0,0,0,10,9184,0.11%,15.63685592,Third
Virginia,"Harrisonburg city, Virginia",51660,3,1,0,0,0,0,0,4,1260,0.32%,15.63815346,Third
Oregon,"Lincoln County, Oregon",41041,0,3,0,0,0,0,0,3,1737,0.17%,15.63843538,Third
New Jersey,"Warren County, New Jersey",34041,1,0,0,0,0,0,0,1,1533,0.07%,15.64116877,Third
Maine,"Kennebec County, Maine",23011,1,1,1,0,0,0,0,4,3092,0.13%,15.64363876,Third
Maine,"Penobscot County, Maine",23019,1,0,0,0,0,0,0,1,3585,0.03%,15.64388975,Third
Alaska,"Matanuska-Susitna Borough, Alaska",2170,1,0,0,0,0,0,0,1,822,0.12%,15.64651985,Third
Michigan,"Berrien County, Michigan",26021,2,1,0,0,0,0,0,3,3728,0.08%,15.64738689,Third
Tennessee,"Shelby County, Tennessee",47157,18,1,7,2,0,0,0,35,57816,0.06%,15.64925244,Third
California,"Orange County, California",6059,21,8,4,0,0,0,0,37,61011,0.06%,15.64938023,Third
Indiana,"Brown County, Indiana",18013,0,0,1,0,0,0,0,2,122,1.64%,15.65179138,Third
Florida,"Broward County, Florida",12011,5,3,3,0,0,0,0,14,64848,0.02%,15.65180155,Third
Montana,"Hill County, Montana",30041,1,0,0,0,0,0,0,1,572,0.17%,15.65349898,Third
Tennessee,"Hamilton County, Tennessee",47065,4,6,1,1,0,0,0,13,17277,0.08%,15.65635826,Third
Oklahoma,"Canadian County, Oklahoma",40017,1,0,0,0,0,0,0,1,4259,0.02%,15.66581387,Third
New Hampshire,"Sullivan County, New Hampshire",33019,1,0,0,0,0,0,0,1,716,0.14%,15.6678117,Third
North Carolina,"Cabarrus County, North Carolina",37025,0,1,0,0,0,0,0,1,4091,0.02%,15.67405274,Third
Texas,"Brewster County, Texas",48043,0,0,1,0,0,0,0,2,172,1.16%,15.67420884,Third
Maine,"Franklin County, Maine",23007,0,0,1,0,0,0,0,2,443,0.45%,15.6752963,Third
Colorado,"Mesa County, Colorado",8077,4,0,0,0,0,0,0,4,4413,0.09%,15.67564188,Third
Tennessee,"Wilson County, Tennessee",47189,2,1,0,0,0,0,0,3,2695,0.11%,15.67758522,Fourth
New York,"Chemung County, New York",36015,1,0,0,0,0,0,0,1,2153,0.05%,15.67798407,Fourth
Florida,"Hillsborough County, Florida",12057,3,0,2,0,0,0,0,7,31923,0.02%,15.67807026,Fourth
Washington,"Walla Walla County, Washington",53071,6,1,0,1,0,0,0,8,2267,0.35%,15.67823481,Fourth
Ohio,"Butler County, Ohio",39017,11,1,0,0,0,0,0,12,13337,0.09%,15.67929709,Fourth
North Carolina,"Cumberland County, North Carolina",37051,7,0,0,0,0,0,0,7,17231,0.04%,15.68406641,Fourth
West Virginia,"Jefferson County, West Virginia",54037,2,0,0,0,0,0,0,2,931,0.21%,15.68591138,Fourth
Montana,"Broadwater County, Montana",30007,1,0,0,0,0,0,0,1,46,2.17%,15.68949772,Fourth
Florida,"Orange County, Florida",12095,3,2,2,0,0,1,1,9,57567,0.02%,15.69150644,Fourth
Virginia,"Hampton city, Virginia",51650,1,0,0,0,0,0,0,1,4845,0.02%,15.69245496,Fourth
California,"Sonoma County, California",6097,6,0,4,0,0,0,0,14,10404,0.13%,15.69276447,Fourth
North Dakota,"Williams County, North Dakota",38105,1,0,0,0,0,0,0,1,1788,0.06%,15.69332488,Fourth
Wisconsin,"Brown County, Wisconsin",55009,1,0,0,0,0,0,0,1,4332,0.02%,15.69345121,Fourth
Ohio,"Hancock County, Ohio",39063,0,1,0,0,0,0,0,1,1843,0.05%,15.69442491,Fourth
Ohio,"Portage County, Ohio",39133,2,0,1,1,0,0,0,5,2987,0.17%,15.6949069,Fourth
Florida,"Escambia County, Florida",12033,2,0,0,0,0,0,0,2,14468,0.01%,15.69612421,Fourth
Texas,"Montgomery County, Texas",48339,1,0,0,0,0,0,0,1,9493,0.01%,15.698618,Fourth
Illinois,"Cook County, Illinois",17031,34,9,14,0,0,3,3,71,163071,0.04%,15.69891544,Fourth
Virginia,"Spotsylvania County, Virginia",51177,1,0,0,0,0,0,0,1,2200,0.05%,15.69919614,Fourth
Washington,"Pierce County, Washington",53053,22,1,7,0,0,0,0,37,35442,0.10%,15.69991614,Fourth
Vermont,"Caledonia County, Vermont",50005,4,0,0,0,0,0,0,4,429,0.93%,15.70003701,Fourth
Kansas,"Sedgwick County, Kansas",20173,5,0,2,0,0,0,0,9,23268,0.04%,15.70503049,Fourth
New York,"Orange County, New York",36071,0,1,0,0,0,0,0,1,7929,0.01%,15.70708241,Fourth
Oklahoma,"Tulsa County, Oklahoma",40143,2,1,0,0,0,0,0,3,28040,0.01%,15.70717405,Fourth
Illinois,"Coles County, Illinois",17029,1,0,0,0,0,0,0,1,729,0.14%,15.70774043,Fourth
Illinois,"Tazewell County, Illinois",17179,1,0,0,0,0,0,0,1,2427,0.04%,15.70833422,Fourth
Tennessee,"Montgomery County, Tennessee",47125,2,0,0,0,0,0,0,2,6247,0.03%,15.71040489,Fourth
Indiana,"Porter County, Indiana",18127,1,0,0,0,0,0,0,1,2344,0.04%,15.71132908,Fourth
Florida,"Palm Beach County, Florida",12099,0,2,0,0,0,0,0,2,47324,0.00%,15.71761164,Fourth
Kentucky,"Scott County, Kentucky",21209,3,0,0,0,0,0,0,3,1272,0.24%,15.71848625,Fourth
Kentucky,"Kenton County, Kentucky",21117,7,3,5,0,0,0,0,20,4139,0.48%,15.71958744,Fourth
Ohio,"Montgomery County, Ohio",39113,12,1,2,1,0,0,0,18,20648,0.09%,15.72063362,Fourth
Minnesota,"Stearns County, Minnesota",27145,3,2,1,0,0,0,0,7,4010,0.17%,15.72123285,Fourth
North Carolina,"Jackson County, North Carolina",37099,1,1,0,0,0,0,0,2,1010,0.20%,15.72601855,Fourth
Missouri,"Jackson County, Missouri",29095,36,6,5,0,1,0,1,53,42940,0.12%,15.73137124,Fourth
South Carolina,"Greenville County, South Carolina",45045,3,0,0,0,0,0,0,3,19328,0.02%,15.73147686,Fourth
Iowa,"Boone County, Iowa",19015,1,0,0,0,0,0,0,1,406,0.25%,15.73443961,Fourth
Kansas,"Shawnee County, Kansas",20177,1,1,0,0,0,0,0,2,7878,0.03%,15.73478874,Fourth
South Dakota,"Meade County, South Dakota",46093,1,0,0,0,0,0,0,1,297,0.34%,15.7360284,Fourth
Michigan,"Benzie County, Michigan",26019,1,0,0,0,0,0,0,1,205,0.49%,15.73641325,Fourth
Virginia,"Richmond city, Virginia",51760,0,1,0,0,0,0,0,1,10389,0.01%,15.73667331,Fourth
Washington,"Benton County, Washington",53005,2,0,0,0,0,0,0,2,4849,0.04%,15.74256604,Fourth
West Virginia,"Ohio County, West Virginia",54069,1,0,0,0,0,0,0,1,1223,0.08%,15.74361257,Fourth
Virginia,"Powhatan County, Virginia",51145,1,0,0,0,0,0,0,1,314,0.32%,15.74424076,Fourth
Virginia,"Mathews County, Virginia",51115,1,0,0,0,0,0,0,1,93,1.08%,15.74834046,Fourth
Tennessee,"Rutherford County, Tennessee",47149,3,0,1,0,0,0,0,5,8100,0.06%,15.74846896,Fourth
Kansas,"Crawford County, Kansas",20037,1,0,0,0,0,0,0,1,1725,0.06%,15.75147853,Fourth
New Jersey,"Gloucester County, New Jersey",34015,12,1,1,0,0,0,0,15,6668,0.22%,15.75596485,Fourth
Vermont,"Rutland County, Vermont",50021,1,1,0,0,0,0,0,2,1041,0.19%,15.7636855,Fourth
Massachusetts,"Suffolk County, Massachusetts",25025,75,17,28,1,0,9,9,149,27101,0.55%,15.76492831,Fourth
Tennessee,"Washington County, Tennessee",47179,0,0,1,1,0,0,0,3,3624,0.08%,15.76495432,Fourth
Wisconsin,"Outagamie County, Wisconsin",55087,2,0,0,0,0,0,0,2,3201,0.06%,15.76563219,Fourth
South Dakota,"Brown County, South Dakota",46013,0,0,0,0,0,1,1,0,676,0.00%,15.76599749,Fourth
North Dakota,"McKenzie County, North Dakota",38053,2,0,0,0,0,0,0,2,244,0.82%,15.77363146,Fourth
Iowa,"Dubuque County, Iowa",19061,1,0,0,0,0,0,0,1,1908,0.05%,15.7786742,Fourth
Missouri,"St. Louis city, Missouri",29510,8,1,0,0,0,0,0,9,25649,0.04%,15.78018539,Fourth
North Carolina,"Forsyth County, North Carolina",37067,6,0,0,0,0,0,0,6,18434,0.03%,15.78272747,Fourth
Florida,"Pinellas County, Florida",12103,3,0,2,0,0,0,0,7,39202,0.02%,15.78507179,Fourth
Kansas,"Harvey County, Kansas",20079,2,0,0,0,0,0,0,2,859,0.23%,15.78588215,Fourth
California,"San Diego County, California",6073,38,15,22,0,0,0,0,97,69635,0.14%,15.78969451,Fourth
Illinois,"Madison County, Illinois",17119,1,0,0,0,0,0,0,1,5136,0.02%,15.79256361,Fourth
Arizona,"Yavapai County, Arizona",4025,1,0,1,0,0,0,0,3,3835,0.08%,15.7928828,Fourth
Kentucky,"Woodford County, Kentucky",21239,1,0,0,0,0,0,0,1,500,0.20%,15.79437401,Fourth
Arizona,"Pima County, Arizona",4019,3,2,2,0,0,0,0,9,49312,0.02%,15.79500002,Fourth
Ohio,"Cuyahoga County, Ohio",39035,14,3,2,0,0,0,0,21,39068,0.05%,15.79856016,Fourth
South Dakota,"Minnehaha County, South Dakota",46099,3,2,2,0,0,0,0,9,5220,0.17%,15.80057128,Fourth
North Carolina,"Pitt County, North Carolina",37147,1,0,4,0,0,1,1,9,6125,0.15%,15.80302432,Fourth
Ohio,"Summit County, Ohio",39153,6,0,1,0,0,0,0,8,17049,0.05%,15.80442618,Fourth
Alabama,"Baldwin County, Alabama",1003,1,0,0,0,0,0,0,1,4433,0.02%,15.8063253,Fourth
New York,"Broome County, New York",36007,1,0,0,0,0,0,0,1,6408,0.02%,15.81533971,Fourth
Kentucky,"Campbell County, Kentucky",21037,2,1,1,0,0,0,0,5,2525,0.20%,15.81626048,Fourth
Michigan,"Eaton County, Michigan",26045,2,0,0,0,0,0,0,2,1946,0.10%,15.82462821,Fourth
Michigan,"Kent County, Michigan",26081,3,2,1,0,0,0,0,7,14935,0.05%,15.82490829,Fourth
Florida,"Brevard County, Florida",12009,4,2,3,0,0,0,0,12,17253,0.07%,15.82515402,Fourth
Washington,"Clallam County, Washington",53009,5,0,1,0,1,0,1,8,2222,0.36%,15.82807945,Fourth
Idaho,"Kootenai County, Idaho",16055,3,2,0,0,0,0,0,5,4330,0.12%,15.82903579,Fourth
New York,"Schenectady County, New York",36093,0,1,0,0,0,0,0,1,5127,0.02%,15.83372277,Fourth
Minnesota,"Crow Wing County, Minnesota",27035,1,0,0,0,0,0,0,1,1569,0.06%,15.83403084,Fourth
North Carolina,"Guilford County, North Carolina",37081,6,4,1,0,0,0,0,12,17687,0.07%,15.83506048,Fourth
New Mexico,"Bernalillo County, New Mexico",35001,7,9,9,0,0,0,0,34,39078,0.09%,15.85714286,Fourth
California,"Santa Cruz County, California",6087,8,4,2,0,0,0,0,16,9260,0.17%,15.8578686,Fourth
